episode reward,episode,Method
-0.5,1,PPO
-0.5,2,PPO
-0.5,3,PPO
-0.5,4,PPO
-0.12999999999999998,5,PPO
-0.009090909090909078,6,PPO
-0.009090909090909078,7,PPO
-0.009090909090909078,8,PPO
-0.00909090909090906,9,PPO
0.14545454545454548,10,PPO
0.3272727272727273,11,PPO
0.3272727272727272,12,PPO
0.48181818181818187,13,PPO
1.0272727272727273,14,PPO
2.4545454545454546,15,PPO
2.4545454545454546,16,PPO
3.5727272727272723,17,PPO
3.727272727272727,18,PPO
4.609090909090909,19,PPO
5.7,20,PPO
7.881818181818182,21,PPO
9.30909090909091,22,PPO
10.036363636363637,23,PPO
10.036363636363637,24,PPO
10.554545454545455,25,PPO
10.736363636363636,26,PPO
11.827272727272726,27,PPO
11.463636363636363,28,PPO
11.49090909090909,29,PPO
12.427272727272726,30,PPO
13.127272727272725,31,PPO
12.763636363636364,32,PPO
12.945454545454545,33,PPO
13.645454545454545,34,PPO
13.854545454545452,35,PPO
13.490909090909089,36,PPO
13.309090909090907,37,PPO
12.79090909090909,38,PPO
13.67272727272727,39,PPO
14.554545454545451,40,PPO
14.345454545454542,41,PPO
15.618181818181819,42,PPO
15.618181818181817,43,PPO
14.709090909090905,44,PPO
15.645454545454545,45,PPO
16.16363636363636,46,PPO
16.16363636363636,47,PPO
17.436363636363634,48,PPO
18.68181818181818,49,PPO
22.527272727272727,50,PPO
25.254545454545454,51,PPO
25.61818181818182,52,PPO
24.890909090909087,53,PPO
24.34545454545454,54,PPO
24.70909090909091,55,PPO
27.04545454545454,56,PPO
27.772727272727273,57,PPO
30.13636363636363,58,PPO
29.59090909090909,59,PPO
29.045454545454547,60,PPO
26.472727272727273,61,PPO
24.654545454545453,62,PPO
23.745454545454546,63,PPO
24.472727272727273,64,PPO
24.318181818181817,65,PPO
25.772727272727273,66,PPO
22.681818181818183,67,PPO
23.40909090909091,68,PPO
22.318181818181817,69,PPO
24.863636363636363,70,PPO
26.681818181818183,71,PPO
26.681818181818176,72,PPO
26.70909090909091,73,PPO
30.89090909090909,74,PPO
28.345454545454547,75,PPO
31.227272727272727,76,PPO
33.22727272727273,77,PPO
32.86363636363637,78,PPO
34.13636363636363,79,PPO
37.04545454545455,80,PPO
34.31818181818182,81,PPO
32.13636363636363,82,PPO
29.254545454545454,83,PPO
28.863636363636363,84,PPO
25.61818181818182,85,PPO
27.981818181818184,86,PPO
28.163636363636364,87,PPO
24.345454545454547,88,PPO
25.436363636363637,89,PPO
22.527272727272727,90,PPO
23.64545454545454,91,PPO
22.581818181818182,92,PPO
25.12727272727273,93,PPO
26.58181818181818,94,PPO
26.4,95,PPO
26.218181818181822,96,PPO
27.127272727272725,97,PPO
26.036363636363635,98,PPO
27.672727272727272,99,PPO
29.49090909090909,100,PPO
31.154545454545453,101,PPO
27.127272727272725,102,PPO
30.19090909090909,103,PPO
29.1,104,PPO
30.89090909090909,105,PPO
32.89090909090909,106,PPO
34.68181818181818,107,PPO
37.04545454545455,108,PPO
38.13636363636363,109,PPO
39.95454545454545,110,PPO
40.5,111,PPO
38.836363636363636,112,PPO
43.38181818181818,113,PPO
43.74545454545454,114,PPO
43.74545454545454,115,PPO
42.836363636363636,116,PPO
43.018181818181816,117,PPO
43.199999999999996,118,PPO
40.10909090909091,119,PPO
40.10909090909091,120,PPO
39.199999999999996,121,PPO
36.836363636363636,122,PPO
39.92727272727273,123,PPO
37.199999999999996,124,PPO
36.29090909090909,125,PPO
37.018181818181816,126,PPO
38.29090909090909,127,PPO
37.22727272727273,128,PPO
37.04545454545455,129,PPO
35.59090909090909,130,PPO
34.86363636363637,131,PPO
34.31818181818182,132,PPO
37.04545454545455,133,PPO
36.5,134,PPO
34.86363636363637,135,PPO
34.31818181818182,136,PPO
31.045454545454547,137,PPO
31.954545454545453,138,PPO
31.018181818181816,139,PPO
31.927272727272726,140,PPO
32.10909090909091,141,PPO
34.836363636363636,142,PPO
38.47272727272727,143,PPO
39.38181818181818,144,PPO
40.10909090909091,145,PPO
39.92727272727273,146,PPO
39.04545454545455,147,PPO
41.95454545454545,148,PPO
42.31818181818182,149,PPO
42.13636363636363,150,PPO
42.13636363636363,151,PPO
43.22727272727273,152,PPO
38.5,153,PPO
35.04545454545455,154,PPO
29.954545454545453,155,PPO
27.772727272727273,156,PPO
29.772727272727273,157,PPO
31.772727272727273,158,PPO
33.22727272727273,159,PPO
31.59090909090909,160,PPO
33.22727272727273,161,PPO
30.318181818181817,162,PPO
31.072727272727274,163,PPO
33.43636363636364,164,PPO
32.709090909090904,165,PPO
34.70909090909091,166,PPO
34.70909090909091,167,PPO
33.43636363636364,168,PPO
31.590909090909086,169,PPO
30.5,170,PPO
30.318181818181817,171,PPO
31.227272727272727,172,PPO
33.04545454545455,173,PPO
32.29090909090909,174,PPO
32.836363636363636,175,PPO
36.47272727272727,176,PPO
36.47272727272727,177,PPO
36.5,178,PPO
36.68181818181818,179,PPO
39.04545454545455,180,PPO
39.04545454545455,181,PPO
39.40909090909091,182,PPO
39.95454545454545,183,PPO
40.5,184,PPO
42.13636363636363,185,PPO
41.59090909090909,186,PPO
40.68181818181818,187,PPO
41.22727272727273,188,PPO
43.018181818181816,189,PPO
44.836363636363636,190,PPO
43.38181818181818,191,PPO
40.31818181818182,192,PPO
41.40909090909091,193,PPO
