episode reward,episode,Method
-1.5,1,PPO
-1.5,2,PPO
-1.5,3,PPO
-1.5,4,PPO
-0.9,5,PPO
-0.9545454545454546,6,PPO
-0.8181818181818182,7,PPO
-0.8181818181818182,8,PPO
-0.8181818181818182,9,PPO
-0.6363636363636364,10,PPO
-0.5,11,PPO
0.0,12,PPO
0.8636363636363636,13,PPO
1.4090909090909092,14,PPO
3.5454545454545454,15,PPO
3.5,16,PPO
5.454545454545454,17,PPO
5.636363636363637,18,PPO
7.2272727272727275,19,PPO
8.272727272727273,20,PPO
8.772727272727273,21,PPO
11.318181818181818,22,PPO
11.681818181818182,23,PPO
11.318181818181818,24,PPO
13.636363636363637,25,PPO
13.454545454545455,26,PPO
15.454545454545455,27,PPO
15.454545454545455,28,PPO
19.136363636363637,29,PPO
19.0,30,PPO
20.818181818181817,31,PPO
22.636363636363637,32,PPO
20.5,33,PPO
21.59090909090909,34,PPO
22.363636363636363,35,PPO
20.727272727272727,36,PPO
20.59090909090909,37,PPO
19.681818181818183,38,PPO
20.772727272727273,39,PPO
20.0,40,PPO
20.681818181818183,41,PPO
21.772727272727273,42,PPO
21.40909090909091,43,PPO
25.0,44,PPO
26.09090909090909,45,PPO
26.045454545454547,46,PPO
27.681818181818183,47,PPO
27.818181818181817,48,PPO
26.90909090909091,49,PPO
26.181818181818183,50,PPO
24.363636363636363,51,PPO
25.272727272727273,52,PPO
24.227272727272727,53,PPO
23.318181818181817,54,PPO
21.5,55,PPO
20.59090909090909,56,PPO
20.954545454545453,57,PPO
19.363636363636363,58,PPO
21.181818181818183,59,PPO
26.454545454545453,60,PPO
25.545454545454547,61,PPO
28.272727272727273,62,PPO
27.727272727272727,63,PPO
27.5,64,PPO
29.318181818181817,65,PPO
29.318181818181817,66,PPO
28.59090909090909,67,PPO
29.863636363636363,68,PPO
31.636363636363637,69,PPO
30.545454545454547,70,PPO
25.636363636363637,71,PPO
28.181818181818183,72,PPO
28.181818181818183,73,PPO
30.181818181818183,74,PPO
30.90909090909091,75,PPO
32.36363636363637,76,PPO
32.54545454545455,77,PPO
33.63636363636363,78,PPO
31.272727272727273,79,PPO
30.0,80,PPO
27.636363636363637,81,PPO
30.59090909090909,82,PPO
29.136363636363637,83,PPO
25.727272727272727,84,PPO
25.545454545454547,85,PPO
25.545454545454547,86,PPO
22.5,87,PPO
24.136363636363637,88,PPO
25.045454545454547,89,PPO
28.863636363636363,90,PPO
30.681818181818183,91,PPO
33.40909090909091,92,PPO
31.181818181818183,93,PPO
32.63636363636363,94,PPO
36.40909090909091,95,PPO
34.77272727272727,96,PPO
34.59090909090909,97,PPO
36.0,98,PPO
35.09090909090909,99,PPO
32.90909090909091,100,PPO
32.90909090909091,101,PPO
32.54545454545455,102,PPO
31.454545454545453,103,PPO
34.0,104,PPO
32.36363636363637,105,PPO
32.90909090909091,106,PPO
34.04545454545455,107,PPO
34.59090909090909,108,PPO
36.95454545454545,109,PPO
36.77272727272727,110,PPO
37.86363636363637,111,PPO
39.31818181818182,112,PPO
40.22727272727273,113,PPO
39.86363636363637,114,PPO
38.95454545454545,115,PPO
39.31818181818182,116,PPO
35.31818181818182,117,PPO
35.63636363636363,118,PPO
33.81818181818182,119,PPO
31.818181818181817,120,PPO
30.545454545454547,121,PPO
29.818181818181817,122,PPO
28.545454545454547,123,PPO
27.818181818181817,124,PPO
30.181818181818183,125,PPO
28.0,126,PPO
29.818181818181817,127,PPO
31.863636363636363,128,PPO
31.363636363636363,129,PPO
32.81818181818182,130,PPO
31.0,131,PPO
31.181818181818183,132,PPO
32.63636363636363,133,PPO
31.181818181818183,134,PPO
29.545454545454547,135,PPO
29.90909090909091,136,PPO
28.818181818181817,137,PPO
24.636363636363637,138,PPO
28.045454545454547,139,PPO
27.818181818181817,140,PPO
27.09090909090909,141,PPO
30.181818181818183,142,PPO
30.181818181818183,143,PPO
29.272727272727273,144,PPO
29.818181818181817,145,PPO
31.636363636363637,146,PPO
30.727272727272727,147,PPO
34.40909090909091,148,PPO
36.04545454545455,149,PPO
34.04545454545455,150,PPO
34.59090909090909,151,PPO
34.40909090909091,152,PPO
32.40909090909091,153,PPO
34.40909090909091,154,PPO
33.68181818181818,155,PPO
32.22727272727273,156,PPO
29.681818181818183,157,PPO
29.681818181818183,158,PPO
30.0,159,PPO
31.09090909090909,160,PPO
29.09090909090909,161,PPO
28.727272727272727,162,PPO
30.90909090909091,163,PPO
32.18181818181818,164,PPO
30.545454545454547,165,PPO
32.36363636363637,166,PPO
34.72727272727273,167,PPO
34.59090909090909,168,PPO
34.77272727272727,169,PPO
32.77272727272727,170,PPO
34.22727272727273,171,PPO
34.04545454545455,172,PPO
31.681818181818183,173,PPO
28.045454545454547,174,PPO
28.40909090909091,175,PPO
29.681818181818183,176,PPO
30.227272727272727,177,PPO
32.77272727272727,178,PPO
33.45454545454545,179,PPO
37.27272727272727,180,PPO
36.90909090909091,181,PPO
36.90909090909091,182,PPO
40.72727272727273,183,PPO
45.09090909090909,184,PPO
46.18181818181818,185,PPO
47.09090909090909,186,PPO
48.0,187,PPO
47.63636363636363,188,PPO
43.81818181818182,189,PPO
45.63636363636363,190,PPO
39.09090909090909,191,PPO
42.0,192,PPO
39.45454545454545,193,PPO
37.27272727272727,194,PPO
36.18181818181818,195,PPO
40.18181818181818,196,PPO
38.54545454545455,197,PPO
35.09090909090909,198,PPO
33.45454545454545,199,PPO
35.27272727272727,200,PPO
37.63636363636363,201,PPO
38.36363636363637,202,PPO
39.27272727272727,203,PPO
42.90909090909091,204,PPO
42.0,205,PPO
42.90909090909091,206,PPO
40.18181818181818,207,PPO
39.63636363636363,208,PPO
41.63636363636363,209,PPO
42.36363636363637,210,PPO
37.81818181818182,211,PPO
34.54545454545455,212,PPO
38.0,213,PPO
37.45454545454545,214,PPO
35.09090909090909,215,PPO
34.72727272727273,216,PPO
33.09090909090909,217,PPO
33.45454545454545,218,PPO
33.27272727272727,219,PPO
31.636363636363637,220,PPO
34.0,221,PPO
38.72727272727273,222,PPO
39.63636363636363,223,PPO
39.81818181818182,224,PPO
39.45454545454545,225,PPO
39.81818181818182,226,PPO
40.54545454545455,227,PPO
40.36363636363637,228,PPO
38.54545454545455,229,PPO
39.81818181818182,230,PPO
44.36363636363637,231,PPO
41.45454545454545,232,PPO
38.18181818181818,233,PPO
38.36363636363637,234,PPO
35.45454545454545,235,PPO
35.81818181818182,236,PPO
36.72727272727273,237,PPO
37.13636363636363,238,PPO
38.95454545454545,239,PPO
40.04545454545455,240,PPO
37.31818181818182,241,PPO
37.13636363636363,242,PPO
39.31818181818182,243,PPO
41.68181818181818,244,PPO
40.77272727272727,245,PPO
44.04545454545455,246,PPO
41.5,247,PPO
41.68181818181818,248,PPO
42.90909090909091,249,PPO
41.27272727272727,250,PPO
42.18181818181818,251,PPO
41.86363636363637,252,PPO
40.77272727272727,253,PPO
40.40909090909091,254,PPO
38.59090909090909,255,PPO
